hate_category_1,hate_category_2,explanation,english,Amharic,afaan_oromo,Tigregna,otherspellings
Gender,,"According to CIR and TikTok workshop participants, breasts are often discussed on social media, including their size and perkiness. The term ""Buqqeeshee"" means 'pumpkins' and is slang used to refer to a woman's breasts. According to a CIR & TikTok workshop particpant, the term Harma Buqqee is an act of touching young girls/women's breasts without consent.",big breasts,ትልቅ ጡት,,,
Gender,,"According to CIR and TikTok workshop participants, breasts are often discussed on social media, including their size and perkiness. The term ""Buqqeeshee"" means 'pumpkins' and is slang used to refer to a woman's breasts. According to a CIR & TikTok workshop particpant, the term Harma Buqqee is an act of touching young girls/women's breasts without consent.",touching breasts without consent,,Harma Buqqee,,
Gender,,"According to CIR and TikTok workshop participants, breasts are often discussed on social media, including their size and perkiness. The term ""Buqqeeshee"" means 'pumpkins' and is slang used to refer to a woman's breasts. According to a CIR & TikTok workshop particpant, the term Harma Buqqee is an act of touching young girls/women's breasts without consent.",perky breast,ጉች ጉች ያለ ጡት,,,
Gender,,"According to CIR and TikTok workshop participants, breasts are often discussed on social media, including their size and perkiness. The term ""Buqqeeshee"" means 'pumpkins' and is slang used to refer to a woman's breasts. According to a CIR & TikTok workshop particpant, the term Harma Buqqee is an act of touching young girls/women's breasts without consent.",Pumpkins,ዱባ,Buqqeeshee,ዱባ,
Gender,,"According to CIR workshop participants, this term is often used alongide misogynistic slurs.",bossy,አለቃ አለቃ ትጫወታለች,Ofirroo,ሃያል,
Gender,,,,ቦሲ,mootummaa dubartii,,
Gender,,"According to CIR workshop participants, the term ""Daabboo"" is figuratively slang that is used to refer to Vagina. It literally means 'Bread'. ",bread,ዳቦ,Daabboo,ባኒ,Daabbooshee
Gender,,"According to CIR workshop participants, the term ""Daabboo"" is figuratively slang that is used to refer to Vagina. It literally means 'Bread'. ",cake,ዳቦሽ,Dubartii,,Daabbookee
Gender,,"According to CIR workshop participants, the term ""Daabboo"" is figuratively slang that is used to refer to Vagina. It literally means 'Bread'. ",,ኬክሽ,,,
Gender,,"According to CIR workshop participants, the term ""Daabboo"" is figuratively slang that is used to refer to Vagina. It literally means 'Bread'. ",burden,ሸክም,Ba'aa,ሸኽሚ,
Gender,,"According to CIR workshop participants, this term is often used alongide misogynistic slurs. For example, the term ""Boroo"" is slang for 'backyard' and is used to refer to a woman's arse.",butt,ቂጥ,eelaa,,
Gender,,"According to CIR workshop participants, this term is often used alongide misogynistic slurs. For example, the term ""Boroo"" is slang for 'backyard' and is used to refer to a woman's arse.",behind,ከጀረባ,Darsa,,
Gender,,"According to CIR workshop participants, this term is often used alongide misogynistic slurs. For example, the term ""Boroo"" is slang for 'backyard' and is used to refer to a woman's arse.",backyard,ኋላዋ,Budduu,መዓኮር,
Gender,,"According to CIR workshop participants, this term is often used alongide misogynistic slurs. For example, the term ""Boroo"" is slang for 'backyard' and is used to refer to a woman's arse.",bottocks,ቂጥ,Gudeeda,,
Gender,,"According to CIR workshop participants, this term is often used alongide misogynistic slurs. For example, the term ""Boroo"" is slang for 'backyard' and is used to refer to a woman's arse.",ass,,Hudduu,,
Gender,,"According to CIR workshop participants, this term is often used alongide misogynistic slurs. For example, the term ""Boroo"" is slang for 'backyard' and is used to refer to a woman's arse.",arse,,Boroo,,
Gender,,"According to CIR workshop participants, this term is often used alongide misogynistic slurs. For example, the term ""Boroo"" is slang for 'backyard' and is used to refer to a woman's arse.",shit ass,,Fagaara,,
Gender,,Used to degrade women who are successful and imply they don't take their maternal role seriously.,career woman,ባልቴት,Haftuu,ደው ኢላ ዝተረፈት ሰበይቲ,
Gender,,"According to CIR workshop participants, this term is often used alongide misogynistic slurs.",catty,መርዘኛ,Haadha,ነግራም,
Gender,,"According to CIR workshop participants, this term is often used alongide misogynistic slurs.",,,dubbii,,
Gender,,"According to CIR workshop participants, this term is often used alongide misogynistic slurs.",,,Nyawwistuu,,
Gender,Ethnic,"According to CIR workshop participant, this term is mostly used to attack women (and sometimes also men) who are loud and talkative. Historically, the phrase has been used to negatively describe beggars (individuals or groups) who move from place to place. The term might have originated in the Amhara region as beggars from there often loudly and rhymthically chant poetic words or songs to passers by, in an attempt to win the person's heart, so that they give money or other materials.",chatty,ለፍላፊ,Laallibalaa,ለፍላፊ,lalibela
Gender,,"According to CIR workshop participant, this term is mostly used to attack women (and sometimes also men) who are loud and talkative. Historically, the phrase has been used to negatively describe beggars (individuals or groups) who move from place to place. The term might have originated in the Amhara region as beggars from there often loudly and rhymthically chant poetic words or songs to passers by, in an attempt to win the person's heart, so that they give money or other materials.",,ላሊበላ,Odulee,,
Gender,,"According to CIR workshop participant, this term is mostly used to attack women (and sometimes also men) who are loud and talkative. Historically, the phrase has been used to negatively describe beggars (individuals or groups) who move from place to place. The term might have originated in the Amhara region as beggars from there often loudly and rhymthically chant poetic words or songs to passers by, in an attempt to win the person's heart, so that they give money or other materials.",,,Reettii,,
Gender,,"According to CIR workshop participant, this term is mostly used to attack women (and sometimes also men) who are loud and talkative. Historically, the phrase has been used to negatively describe beggars (individuals or groups) who move from place to place. The term might have originated in the Amhara region as beggars from there often loudly and rhymthically chant poetic words or songs to passers by, in an attempt to win the person's heart, so that they give money or other materials.",,,Odeessituu,,
Gender,,"According to CIR workshop participants, this term is often used in a misogynistic fashion.",chick,ቺኳ,Chiikii,ቺክ,
Gender,,,,ቺክ,Chakasii,,
Gender,,,,ሴታሴት,shuushee,ጓል ጓሎ,
Gender,,,,,shuushataa,,
Gender,,,,,Nadhoo,,
Gender,,"According to CIR workshop participants, this term is often used alongide misogynistic slurs.",chubby,ዝርፍጥ,Furdoo,ፈዝራዕ,
Gender,,"According to CIR workshop participants, this term is often used alongide misogynistic slurs.",,,Gabbattuu,,
Gender,,"According to CIR workshop participants, this term is often used alongide misogynistic slurs.",,,Coomtuu,,
Gender,,"According to CIR workshop participants, this term is often used alongide misogynistic slurs.",cleaner,አጣቢ,Hartuu,ዝጸረየ,
Gender,,"According to CIR workshop participants, this term is often used alongide misogynistic slurs.",,አለቅላቂ,Haxooftuu,,
Gender,,"According to CIR workshop participants, this term is often used alongide misogynistic slurs.",,ጠራጊ,Ququlleesituu,,
Gender,,"According to CIR workshop participants, this term is often used alongide misogynistic slurs.",clit,ቂንጥር,Qinxiraama,ቂንጥር,
Gender,,"Misogynistic, derogatory, and harmful terms.",cocksucker,ጀላ ጠቢ,Hootuu Qunxurroo,መሸኒት ጠባዪ,
Gender,,"Misogynistic, derogatory, and harmful terms.",,ቁላ ጠቢ,nama qaama saalaa dhiiraa hodhu,ከልቢ,
Gender,,"According to CIR workshop participants, this term is often used alongide misogynistic slurs.",concubine,ውሽማ,Jaaltoo,ውሽማ,
Gender,,"According to CIR workshop participants, this term is often used alongide misogynistic slurs.",,ቅምጥ,sanyoo,,
Gender,,"According to CIR workshop participants, this term is often used alongide misogynistic slurs.",cook,ገርዳሜ,Garadii,ምግቢ ሰራሒ,
Gender,,"According to CIR workshop participants, this term is often used alongide misogynistic slurs.",,ገረድ,,,
Gender,,"According to CIR workshop participants, this term is often used alongide misogynistic slurs.",,የጭን ገረድ,,,
Gender,,"According to CIR workshop participants, this term is often used alongide misogynistic slurs.",cougar,ሻፋዳ አሮጊት,Gursummaa,,
Gender,,"According to CIR workshop participants, this term is often used alongide misogynistic slurs.",,ሹገር ማሚ,Ejjituu,,
Gender,,"According to CIR workshop participants, this term is often used alongide misogynistic slurs.",,,Harmallaa,,
Gender,,"According to CIR workshop participants, the term 'cow' can also be used to refer to a woman with big breasts",cow,ላም,Saawwa,ላሕሚ,saawwa
Gender,,,,,Loon,,sawa
Gender,,,,,Horii,,
Gender,,"According to CIR workshop participants, the term is used to describe women perceived as lustful or sexually promiscuous, as well as women who are not circumcised. In traditional Ethiopian contexts, uncircumcised women have often been viewed as disobedient or lacking proper manners, particularly toward their husbands. As a result, the term carries strong negative and stigmatising connotations.",cunt,ቂንጥራም,Qinxiraamee,ምጥሪ,Kintiram
Gender,,"According to CIR workshop participants, the term is used to describe women perceived as lustful or sexually promiscuous, as well as women who are not circumcised. In traditional Ethiopian contexts, uncircumcised women have often been viewed as disobedient or lacking proper manners, particularly toward their husbands. As a result, the term carries strong negative and stigmatising connotations.",,ቂንዝራም,Kaafattuu,,kinziram
Gender,,"According to CIR workshop participants, the term is used to describe women perceived as lustful or sexually promiscuous, as well as women who are not circumcised. In traditional Ethiopian contexts, uncircumcised women have often been viewed as disobedient or lacking proper manners, particularly toward their husbands. As a result, the term carries strong negative and stigmatising connotations.",,,,,Kintramee
Gender,,"According to CIR workshop participants, the term is used derogatorily to comment on a woman’s body or physical appearance, often referring to her buttocks or thighs. It is also commonly used for catcalling women offline.",curvy,ቂጣም,Fagaaree,,
Gender,,,,ስፖንዳ ,haadha hudduu,,
Gender,,,,,spoondaan,,
Gender,,"According to CIR workshop participants, this term is often used alongide misogynistic slurs.",desperate,የቸገራት,??? ?????,ዝተጨነቐ፣ ተስፋ ዘቑርፅ,
Gender,,"According to CIR workshop participants, this term is often used alongide misogynistic slurs.",difficult,አመለኛ,Ofirroo,ከቢድ,
Gender,,"According to CIR workshop participants, this term is often used alongide misogynistic slurs.",dirty,ቆሻሻ,Samtuu,ረሳህ,
Gender,,"According to CIR workshop participants, this term is often used alongide misogynistic slurs.",filthy,,Boosettii,,
Gender,,"According to CIR workshop participants, this term is often used alongide misogynistic slurs.",grubby,,Najaasaa,,
Gender,,"According to CIR workshop participants, this term is often used alongide misogynistic slurs.",,,furrooftuu,,
Gender,,"According to CIR & TikTok workshop participants, this is often used to demean women and girls online. ",disgrace to society,ማፈሪያ፣ አሳፋሪ,,,
Gender,,"According to CIR workshop participants, this term is often used alongide misogynistic slurs.",ditzy,ቂልላል,,ዝርኽርኽ,
Gender,,"According to CIR workshop participants, this term is often used alongide misogynistic slurs.",,ሞኝ,,ፎሽኳል,
Gender,,"According to CIR workshop participants, this term is often used alongide misogynistic slurs.",,ልኳን የማታውቅ,,,
Gender,,,diva,አካብዴ,,,
Gender,,"According to CIR & TikTok workshop participants, this term is often used alongide misogynistic slurs. Interestingly, the term ""Gursummaa"" can have multiple meanings from divorced, to widow, couger and single mother.",divorced,ፈት,Gursummaa,ዝተፋተኽ,
Gender,,"According to CIR & TikTok workshop participants, this term is often used alongide misogynistic slurs. Interestingly, the term ""Gursummaa"" can have multiple meanings from divorced, to widow, couger and single mother.",widow,,,,
Gender,,"According to CIR & TikTok workshop participants, this term is often used alongide misogynistic slurs. Interestingly, the term ""Gursummaa"" can have multiple meanings from divorced, to widow, couger and single mother.",cougar,,,,
Gender,,"According to CIR & TikTok workshop participants, this term is often used alongide misogynistic slurs. Interestingly, the term ""Gursummaa"" can have multiple meanings from divorced, to widow, couger and single mother.",single mum,,Harmallaa,,single mom
Gender,,"According to CIR workshop participants, this term is often used alongide misogynistic slurs.",dog,ውሻ,Saree,ክልቢ,
Gender,,"According to CIR workshop participants, this term is often used alongide misogynistic slurs.",,,Jalee,,
Gender,,"According to CIR workshop participants, this term is often used alongide misogynistic slurs.",,,Ergamtuu,,
Gender,Ethnic,"Workshop participants in the PeaceTech Lab study explained that women are sometimes referred to as “donkeys,” even within their own communities, reflecting deeply rooted cultural attitudes that normalise violence and subservience. As one participant noted, there is an Amharic saying that “a woman and a donkey deserve to be hit.” The term is also used across ethnic lines, highlighting the widespread nature of this harmful stereotype.",donkey,አሕያ,Harree,ኣድጊ,ahiya
Gender,Ethnic,"Workshop participants in the PeaceTech Lab study explained that women are sometimes referred to as “donkeys,” even within their own communities, reflecting deeply rooted cultural attitudes that normalise violence and subservience. As one participant noted, there is an Amharic saying that “a woman and a donkey deserve to be hit.” The term is also used across ethnic lines, highlighting the widespread nature of this harmful stereotype.",you are a donkey, አህያ ነህ,,,ahya
Gender,Ethnic,"Workshop participants in the PeaceTech Lab study explained that women are sometimes referred to as “donkeys,” even within their own communities, reflecting deeply rooted cultural attitudes that normalise violence and subservience. As one participant noted, there is an Amharic saying that “a woman and a donkey deserve to be hit.” The term is also used across ethnic lines, highlighting the widespread nature of this harmful stereotype.",,አህያ,Harroota,,aheya
Gender,Ethnic,"Workshop participants in the PeaceTech Lab study explained that women are sometimes referred to as “donkeys,” even within their own communities, reflecting deeply rooted cultural attitudes that normalise violence and subservience. As one participant noted, there is an Amharic saying that “a woman and a donkey deserve to be hit.” The term is also used across ethnic lines, highlighting the widespread nature of this harmful stereotype.",donkeys,ሴትና አህያ,Dubartii fi Harreen,ኣድግታት,aheyoch
Gender,Ethnic,"Workshop participants in the PeaceTech Lab study explained that women are sometimes referred to as “donkeys,” even within their own communities, reflecting deeply rooted cultural attitudes that normalise violence and subservience. As one participant noted, there is an Amharic saying that “a woman and a donkey deserve to be hit.” The term is also used across ethnic lines, highlighting the widespread nature of this harmful stereotype.",,አህያ,Dubartii fi kotte duudaan,,Harrittii
Gender,,"Workshop participants in the PeaceTech Lab study explained that women are sometimes referred to as “donkeys,” even within their own communities, reflecting deeply rooted cultural attitudes that normalise violence and subservience. As one participant noted, there is an Amharic saying that “a woman and a donkey deserve to be hit.” The term is also used across ethnic lines, highlighting the widespread nature of this harmful stereotype.",,አህዮች ,,,
Gender,Ethnic,"Workshop participants in the PeaceTech Lab study explained that women are sometimes referred to as “donkeys,” even within their own communities, reflecting deeply rooted cultural attitudes that normalise violence and subservience. As one participant noted, there is an Amharic saying that “a woman and a donkey deserve to be hit.” The term is also used across ethnic lines, highlighting the widespread nature of this harmful stereotype.",Donkey Amhara,,,,Adgi Amharay
Gender,,"Workshop participants in the PeaceTech Lab study explained that women are sometimes referred to as “donkeys,” even within their own communities, reflecting deeply rooted cultural attitudes that normalise violence and subservience. As one participant noted, there is an Amharic saying that “a woman and a donkey deserve to be hit.” The term is also used across ethnic lines, highlighting the widespread nature of this harmful stereotype.",Donkey-ish,,Akka harree dhalaa,,obstinate
Gender,Ethnic,"Workshop participants in the PeaceTech Lab study explained that women are sometimes referred to as “donkeys,” even within their own communities, reflecting deeply rooted cultural attitudes that normalise violence and subservience. As one participant noted, there is an Amharic saying that “a woman and a donkey deserve to be hit.” The term is also used across ethnic lines, highlighting the widespread nature of this harmful stereotype.",of the donkey race,የአህያ_ዘር,,,
Gender,,"According to CIR & TikTok workshop participants, his phrase is used against men to say ""don't express your emotion in public"". ",,ለወንድ ደግሞ ስሜትህን በአደባባይ አትግለፅ,,,
Gender,,"According to CIR workshop participants, this term is often used alongide misogynistic slurs.",dramatic,ወከባ,Fakkeessituu,ሆሆ,
Gender,,"According to CIR workshop participants, this term is often used alongide misogynistic slurs.",,,wajaawwajjuu,ኦኽባ,
Gender,,"According to CIR workshop participants, this term is used to target women who wear makeup.",dusty,ዱቄታም,Daaroftuu,ሓመዳም,
Gender,,"According to CIR workshop participants, this term is used to target women who wear makeup.",,አመዳም,Dhukkooftuu,,
Gender,,Slang for lesbian,dyke,ቡሽቲ,Sanga-raadaa,ብሽቲ,
Gender,,"According to CIR & TikTok workshop participants, this term is often used alongide misogynistic slurs. It suggests they are not worthy of respect",easy,ቀላል,salphoo,ቀሊል,
Gender,,"According to CIR workshop participants, this term is often used alongide misogynistic slurs.",emotional,ስሜታዊ,Miiroftuu,ስሚዕታዊ,
Gender,,"According to CIR workshop participants, this term is often used alongide misogynistic slurs.",,,Boossuu,,
Gender,,"According to a CIR workshop participant, this is used to refer to women who are perceived to be unpleasant or difficult.",even worse,የባሰ,kan Caalu,ዝገደደ,
Gender,,"According to a CIR workshop participant, this is used to refer to women who are perceived to be unpleasant or difficult.",,,,ዝባዓሰ,
Gender,,"According to CIR workshop participants, this term is often used alongide misogynistic slurs.",fake,አስመሳይ,Gaararraa,አምሳሊ,
Gender,,"According to CIR workshop participants, this term is often used alongide misogynistic slurs.",,,Fakkeessituu,,
Gender,,"According to CIR workshop participants, this term is a misogynistic slur.",fallen women,ውዳቂ,Gudeedamtuu,ድርባይ,
Gender,,"According to CIR workshop participants, this term is a misogynistic slur.",,,butamtuu,,
Gender,,"According to CIR workshop participants, this term is a misogynistic slur.",,,kan anmni itti taphate,,
Gender,,"According to CIR workshop participants, this term is often used alongide misogynistic slurs.",fat,ወፍራም,Qarbaxa,ረጒድ,
Gender,,"According to CIR workshop participants, this term is often used alongide misogynistic slurs.",Fat cow,,Ruurrii,,
Gender,,"According to CIR workshop participants, this term is often used alongide misogynistic slurs.",You’re fat,ድልብ,Gabbattuu,ገጂፍ,
Gender,,"According to CIR workshop participants, this term is often used alongide misogynistic slurs.",Why don’t you go to the gym?,ግዙፍ,Furdoo,ገጂፍ,
Gender,,"According to CIR workshop participants, this term is often used alongide misogynistic slurs.",Lose some weight,,Gabbattuu,,
Gender,,"According to CIR workshop participants, this term is often used alongide misogynistic slurs.",You’re too big for the camera,ዝፍዝፍ,Of-gattuuu,ፈዝራዕ,
Gender,,"According to CIR workshop participants, this term is often used alongide misogynistic slurs.",big buttocks,,Tortortuu,,
Gender,,"According to CIR workshop participants, this term is often used alongide misogynistic slurs.",wide mouth,ዱባ,,ዱባ,
Gender,,"According to CIR workshop participants, this term is often used alongide misogynistic slurs.",fatgirlproblems,ላም,Dubartii Furdoo,ገጂፍ ሰበይቲ,
Gender,,"According to CIR workshop participants, this term is often used alongide misogynistic slurs.",,ጭራቅ ,,,
Gender,,"According to CIR workshop participants, this term is often used alongide misogynistic slurs.",,ቆሞ ቀር ,Coomtuu,,
Gender,,"According to CIR workshop participants, abusive accounts commonly ask for sexual favours including kinks like ""feet pics""",feet pics,የእግር ምስሎች,Koomee rigattuu,ኣጻብዕቲ ፎቶ,
Gender,,"According to CIR workshop participants, abusive accounts commonly ask for sexual favours including kinks like ""feet pics""",,የእግር ፎቶዎች,miilla bareedaa,,
Gender,,"According to CIR workshop participants, this term is often used alongide misogynistic slurs.",feisty,ንክ,Haadha dubbii,ሓያል,
Gender,,"According to CIR workshop participants, this term is often used alongide misogynistic slurs.",,,Nyawwistuu,,
Gender,,"According to CIR workshop participants, this term is often used alongide misogynistic slurs.",female youth,,Qarree,መንእሰይ ደቂ ኣንስትዮ ,
Gender,,"According to CIR workshop participants, the term feminist or feminism is often weaponised to discredit outspoken women, with feminism itself portrayed as something negative or “evil.” Feminist activists are frequently depicted as “man-hating,” “against culture and religion,” “ugly,” “unwanted,” or “resentful.” Such labels are used to delegitimise their activism, justify victim-blaming, and silence survivors. The term “feminazi” and similar slurs are commonly deployed to equate gender activism with extremism, dismissing legitimate advocacy as fanatical or dangerous. By framing feminists as irrational, unfeminine, or culturally deviant, abusers seek to erode public sympathy and prevent solidarity around women’s rights. Feminists are also often linked with LGBTQ+ rights, framing feminism as foreign or immoral, painting gender equality as an attack on social cohesion rather than a pursuit of justice. Such rhetoric reinforces stigma against both feminists and LGBTQ+ individuals, using fear and disgust to marginalise anyone challenging gender hierarchies. ",feminist,ፌሚኒስት,Feeministii,ፌሚኒስት,
Gender,,"According to CIR workshop participants, the term feminist or feminism is often weaponised to discredit outspoken women, with feminism itself portrayed as something negative or “evil.” Feminist activists are frequently depicted as “man-hating,” “against culture and religion,” “ugly,” “unwanted,” or “resentful.” Such labels are used to delegitimise their activism, justify victim-blaming, and silence survivors. The term “feminazi” and similar slurs are commonly deployed to equate gender activism with extremism, dismissing legitimate advocacy as fanatical or dangerous. By framing feminists as irrational, unfeminine, or culturally deviant, abusers seek to erode public sympathy and prevent solidarity around women’s rights. Feminists are also often linked with LGBTQ+ rights, framing feminism as foreign or immoral, painting gender equality as an attack on social cohesion rather than a pursuit of justice. Such rhetoric reinforces stigma against both feminists and LGBTQ+ individuals, using fear and disgust to marginalise anyone challenging gender hierarchies. ",feminazi,,Nadhoo,,
Gender,,"According to CIR workshop participants, the term feminist or feminism is often weaponised to discredit outspoken women, with feminism itself portrayed as something negative or “evil.” Feminist activists are frequently depicted as “man-hating,” “against culture and religion,” “ugly,” “unwanted,” or “resentful.” Such labels are used to delegitimise their activism, justify victim-blaming, and silence survivors. The term “feminazi” and similar slurs are commonly deployed to equate gender activism with extremism, dismissing legitimate advocacy as fanatical or dangerous. By framing feminists as irrational, unfeminine, or culturally deviant, abusers seek to erode public sympathy and prevent solidarity around women’s rights. Feminists are also often linked with LGBTQ+ rights, framing feminism as foreign or immoral, painting gender equality as an attack on social cohesion rather than a pursuit of justice. Such rhetoric reinforces stigma against both feminists and LGBTQ+ individuals, using fear and disgust to marginalise anyone challenging gender hierarchies. ","Feminists are western, out of culture and religious values",ፌሚኒስቶች የምዕራቡ አለም አመለካከት፤ ከሃይማኖትና ባህል የወጡ,,,
Gender,,"According to CIR workshop participants, the term feminist or feminism is often weaponised to discredit outspoken women, with feminism itself portrayed as something negative or “evil.” Feminist activists are frequently depicted as “man-hating,” “against culture and religion,” “ugly,” “unwanted,” or “resentful.” Such labels are used to delegitimise their activism, justify victim-blaming, and silence survivors. The term “feminazi” and similar slurs are commonly deployed to equate gender activism with extremism, dismissing legitimate advocacy as fanatical or dangerous. By framing feminists as irrational, unfeminine, or culturally deviant, abusers seek to erode public sympathy and prevent solidarity around women’s rights. Feminists are also often linked with LGBTQ+ rights, framing feminism as foreign or immoral, painting gender equality as an attack on social cohesion rather than a pursuit of justice. Such rhetoric reinforces stigma against both feminists and LGBTQ+ individuals, using fear and disgust to marginalise anyone challenging gender hierarchies. ",Women’s rights defenders are destroying religion and family,የሴቶችን የመብት ተሟጋቾች ሃይማኖትና ባህልን እያጠፉ ነው,,,
Gender,,"According to CIR workshop participants, the term feminist or feminism is often weaponised to discredit outspoken women, with feminism itself portrayed as something negative or “evil.” Feminist activists are frequently depicted as “man-hating,” “against culture and religion,” “ugly,” “unwanted,” or “resentful.” Such labels are used to delegitimise their activism, justify victim-blaming, and silence survivors. The term “feminazi” and similar slurs are commonly deployed to equate gender activism with extremism, dismissing legitimate advocacy as fanatical or dangerous. By framing feminists as irrational, unfeminine, or culturally deviant, abusers seek to erode public sympathy and prevent solidarity around women’s rights. Feminists are also often linked with LGBTQ+ rights, framing feminism as foreign or immoral, painting gender equality as an attack on social cohesion rather than a pursuit of justice. Such rhetoric reinforces stigma against both feminists and LGBTQ+ individuals, using fear and disgust to marginalise anyone challenging gender hierarchies. ","going against religion, tradition, and Ethiopianism",ቆሞ ቀር,,,
