hate_category_1,hate_category_2,explanation,english,amharic,afaan_oromo,tigregna,otherspellings,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, this term is often used alongide misogynistic slurs and means witch or magician. It is mostly used on women. ",magician,?????,Gaadidduu,,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, this term is often used alongide misogynistic slurs and means witch or magician. It is mostly used on women. ",witch,,Farristuu,,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, this term is often used alongide misogynistic slurs and means witch or magician. It is mostly used on women. ",,,Farroo,,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, this term is often used alongide misogynistic slurs and means witch or magician. It is mostly used on women. ",barren,???,Gaangee,???,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, this term is often used alongide misogynistic slurs and means witch or magician. It is mostly used on women. ",,???,,???,,,,,,,,,,,,,,,,,,,,,
Gender,,"Misogynistic, derogatory, and harmful terms.",bastard,???,Diqaalaa,???,dikala,,,,,,,,,,,,,,,,,,,,
Gender,,,daughter of a bitch,,,,,,,,,,,,,,,,,,,,,,,,
Gender,,,son of a bitch,,ilmoo baarandaa,,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR & TikTok workshop participants, there is a saying that all Ethiopian women named Betelhem (Bety) are sluts and all Natnael (Naty's)  are womanisers.",Betelhem,,,,,,,,,,,,,,,,,,,,,,,,
Gender,,,Beti,,,,,,,,,,,,,,,,,,,,,,,,
Gender,,,Betty,,,,,,,,,,,,,,,,,,,,,,,,
Gender,,,Bety,,,,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, this term is often used alongide misogynistic slurs.",bimbo,??? ??,Jabbii,???,,,,,,,,,,,,,,,,,,,,,
Gender,,,,,hemmee,,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, this term is often used in a misogynistic fashion.",bird ,??,Simbirroo,??,,,,,,,,,,,,,,,,,,,,,
Gender,,,,,Simbira ,,,,,,,,,,,,,,,,,,,,,,
Gender,,"Misogynistic, derogatory, and harmful terms.",bitch ,????,Sharmuuxaa,????,,,,,,,,,,,,,,,,,,,,,
Gender,,"Misogynistic, derogatory, and harmful terms.",b1tch,??,shallee,???,,,,,,,,,,,,,,,,,,,,,
Gender,,"Misogynistic, derogatory, and harmful terms.",,??,Biichii,????,,,,,,,,,,,,,,,,,,,,,
Gender,,"Misogynistic, derogatory, and harmful terms.",,????,Gaalamoota,,,,,,,,,,,,,,,,,,,,,,
Gender,,"Misogynistic, derogatory, and harmful terms.",,,ejjituu,,,,,,,,,,,,,,,,,,,,,,
Gender,,"Misogynistic, derogatory, and harmful terms.",,,sagagaltuu,,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, this term is often used alongide misogynistic slurs.",bolshy,????,Of-nyaattuu,????,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, this term is often used alongide misogynistic slurs.",,,Alaanaltuu,,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR and TikTok workshop participants, breasts are often discussed on social media, including their size and perkiness. The term ""Buqqeeshee"" means 'pumpkins' and is slang used to refer to a woman's breasts. According to a CIR & TikTok workshop particpant, the term Harma Buqqee is an act of touching young girls/women's breasts without consent.",Her milk house,???? ??,Harma Guddaa,??,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR and TikTok workshop participants, breasts are often discussed on social media, including their size and perkiness. The term ""Buqqeeshee"" means 'pumpkins' and is slang used to refer to a woman's breasts. According to a CIR & TikTok workshop particpant, the term Harma Buqqee is an act of touching young girls/women's breasts without consent.",big breasts,??? ??,,,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR and TikTok workshop participants, breasts are often discussed on social media, including their size and perkiness. The term ""Buqqeeshee"" means 'pumpkins' and is slang used to refer to a woman's breasts. According to a CIR & TikTok workshop particpant, the term Harma Buqqee is an act of touching young girls/women's breasts without consent.",touching breasts without consent,,Harma Buqqee,,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR and TikTok workshop participants, breasts are often discussed on social media, including their size and perkiness. The term ""Buqqeeshee"" means 'pumpkins' and is slang used to refer to a woman's breasts. According to a CIR & TikTok workshop particpant, the term Harma Buqqee is an act of touching young girls/women's breasts without consent.",perky breast ,?? ?? ?? ??,,,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR and TikTok workshop participants, breasts are often discussed on social media, including their size and perkiness. The term ""Buqqeeshee"" means 'pumpkins' and is slang used to refer to a woman's breasts. According to a CIR & TikTok workshop particpant, the term Harma Buqqee is an act of touching young girls/women's breasts without consent.",Pumpkins,??,Buqqeeshee,??,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, this term is often used alongide misogynistic slurs.",bossy,??? ??? ??????,Ofirroo,???,,,,,,,,,,,,,,,,,,,,,
Gender,,,,??,mootummaa dubartii,,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, the term ""Daabboo"" is figuratively slang that is used to refer to Vagina. It literally means 'Bread'. ",bread ,??,Daabboo,??,Daabbooshee,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, the term ""Daabboo"" is figuratively slang that is used to refer to Vagina. It literally means 'Bread'. ",cake,???,Dubartii,,Daabbookee,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, the term ""Daabboo"" is figuratively slang that is used to refer to Vagina. It literally means 'Bread'. ",,???,,,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, the term ""Daabboo"" is figuratively slang that is used to refer to Vagina. It literally means 'Bread'. ",burden,???,Ba'aa,???,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, this term is often used alongide misogynistic slurs. For example, the term ""Boroo"" is slang for 'backyard' and is used to refer to a woman's arse.",butt,??,eelaa,,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, this term is often used alongide misogynistic slurs. For example, the term ""Boroo"" is slang for 'backyard' and is used to refer to a woman's arse.",behind,????,Darsa,,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, this term is often used alongide misogynistic slurs. For example, the term ""Boroo"" is slang for 'backyard' and is used to refer to a woman's arse.",backyard,???,Budduu,????,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, this term is often used alongide misogynistic slurs. For example, the term ""Boroo"" is slang for 'backyard' and is used to refer to a woman's arse.",bottocks ,??,Gudeeda,,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, this term is often used alongide misogynistic slurs. For example, the term ""Boroo"" is slang for 'backyard' and is used to refer to a woman's arse.",ass,,Hudduu,,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, this term is often used alongide misogynistic slurs. For example, the term ""Boroo"" is slang for 'backyard' and is used to refer to a woman's arse.",arse ,,Boroo,,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, this term is often used alongide misogynistic slurs. For example, the term ""Boroo"" is slang for 'backyard' and is used to refer to a woman's arse.",shit ass,,Fagaara,,,,,,,,,,,,,,,,,,,,,,
Gender,,Used to degrade women who are successful and imply they don't take their maternal role seriously.,career woman,????,Haftuu,?? ?? ????? ????,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, this term is often used alongide misogynistic slurs.",catty,????,Haadha,????,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, this term is often used alongide misogynistic slurs.",,,dubbii,,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, this term is often used alongide misogynistic slurs.",,,Nyawwistuu,,,,,,,,,,,,,,,,,,,,,,
Gender,Ethnic,"According to CIR workshop participant, this term is mostly used to attack women (and sometimes also men) who are loud and talkative. Historically, the phrase has been used to negatively describe beggars (individuals or groups) who move from place to place. The term might have originated in the Amhara region as beggars from there often loudly and rhymthically chant poetic words or songs to passers by, in an attempt to win the person's heart, so that they give money or other materials.",chatty,????,Laallibalaa,????,lalibela,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participant, this term is mostly used to attack women (and sometimes also men) who are loud and talkative. Historically, the phrase has been used to negatively describe beggars (individuals or groups) who move from place to place. The term might have originated in the Amhara region as beggars from there often loudly and rhymthically chant poetic words or songs to passers by, in an attempt to win the person's heart, so that they give money or other materials.",,????,Odulee,,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participant, this term is mostly used to attack women (and sometimes also men) who are loud and talkative. Historically, the phrase has been used to negatively describe beggars (individuals or groups) who move from place to place. The term might have originated in the Amhara region as beggars from there often loudly and rhymthically chant poetic words or songs to passers by, in an attempt to win the person's heart, so that they give money or other materials.",,,Reettii,,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participant, this term is mostly used to attack women (and sometimes also men) who are loud and talkative. Historically, the phrase has been used to negatively describe beggars (individuals or groups) who move from place to place. The term might have originated in the Amhara region as beggars from there often loudly and rhymthically chant poetic words or songs to passers by, in an attempt to win the person's heart, so that they give money or other materials.",,,Odeessituu,,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, this term is often used in a misogynistic fashion.",chick ,??,Chiikii,??,,,,,,,,,,,,,,,,,,,,,
Gender,,,,??,Chakasii,,,,,,,,,,,,,,,,,,,,,,
Gender,,,,????,shuushee,?? ??,,,,,,,,,,,,,,,,,,,,,
Gender,,,,,shuushataa,,,,,,,,,,,,,,,,,,,,,,
Gender,,,,,Nadhoo,,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, this term is often used alongide misogynistic slurs.",chubby,????,Furdoo,????,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, this term is often used alongide misogynistic slurs.",,,Gabbattuu,,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, this term is often used alongide misogynistic slurs.",,,Coomtuu,,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, this term is often used alongide misogynistic slurs.",cleaner ,???,Hartuu,????,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, this term is often used alongide misogynistic slurs.",,?????,Haxooftuu,,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, this term is often used alongide misogynistic slurs.",,???,Ququlleesituu,,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, this term is often used alongide misogynistic slurs.",clit,????,Qinxiraama,????,,,,,,,,,,,,,,,,,,,,,
Gender,,"Misogynistic, derogatory, and harmful terms.",cocksucker,?? ??,Hootuu Qunxurroo,???? ???,,,,,,,,,,,,,,,,,,,,,
Gender,,"Misogynistic, derogatory, and harmful terms.",,?? ??,nama qaama saalaa dhiiraa hodhu,???,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, this term is often used alongide misogynistic slurs.",concubine,???,Jaaltoo,???,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, this term is often used alongide misogynistic slurs.",,???,sanyoo,,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, this term is often used alongide misogynistic slurs.",cook,????,Garadii,??? ???,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, this term is often used alongide misogynistic slurs.",,???,,,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, this term is often used alongide misogynistic slurs.",,??? ???,,,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, this term is often used alongide misogynistic slurs.",cougar ,??? ????,Gursummaa,,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, this term is often used alongide misogynistic slurs.",,??? ??,Ejjituu,,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, this term is often used alongide misogynistic slurs.",,,Harmallaa,,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, the term 'cow' can also be used to refer to a woman with big breasts",cow,??,Saawwa,???,saawwa,,,,,,,,,,,,,,,,,,,,
Gender,,,,,Loon,,sawa,,,,,,,,,,,,,,,,,,,,
Gender,,,,,Horii,,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, the term is used to describe women perceived as lustful or sexually promiscuous, as well as women who are not circumcised. In traditional Ethiopian contexts, uncircumcised women have often been viewed as disobedient or lacking proper manners, particularly toward their husbands. As a result, the term carries strong negative and stigmatising connotations.",cunt,?????,Qinxiraamee,???,Kintiram,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, the term is used to describe women perceived as lustful or sexually promiscuous, as well as women who are not circumcised. In traditional Ethiopian contexts, uncircumcised women have often been viewed as disobedient or lacking proper manners, particularly toward their husbands. As a result, the term carries strong negative and stigmatising connotations.",,?????,Kaafattuu,,kinziram,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, the term is used to describe women perceived as lustful or sexually promiscuous, as well as women who are not circumcised. In traditional Ethiopian contexts, uncircumcised women have often been viewed as disobedient or lacking proper manners, particularly toward their husbands. As a result, the term carries strong negative and stigmatising connotations.",,,,,Kintramee,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, the term is used derogatorily to comment on a woman’s body or physical appearance, often referring to her buttocks or thighs. It is also commonly used for catcalling women offline.",curvy,???,Fagaaree,,,,,,,,,,,,,,,,,,,,,,
Gender,,,,???? ,haadha hudduu,,,,,,,,,,,,,,,,,,,,,,
Gender,,,,,spoondaan,,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, this term is often used alongide misogynistic slurs.",desperate,?????,??? ?????,?????? ??? ????,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, this term is often used alongide misogynistic slurs.",difficult ,????,Ofirroo,???,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, this term is often used alongide misogynistic slurs.",dirty,???,Samtuu,???,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, this term is often used alongide misogynistic slurs.",filthy,,Boosettii,,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, this term is often used alongide misogynistic slurs.",grubby,,Najaasaa,,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, this term is often used alongide misogynistic slurs.",,,furrooftuu,,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR & TikTok workshop participants, this is often used to demean women and girls online. ",disgrace to society,????? ????,,,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, this term is often used alongide misogynistic slurs.",ditzy ,????,,?????,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, this term is often used alongide misogynistic slurs.",,??,,????,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, this term is often used alongide misogynistic slurs.",,??? ?????,,,,,,,,,,,,,,,,,,,,,,,
Gender,,,diva,????,,,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR & TikTok workshop participants, this term is often used alongide misogynistic slurs. Interestingly, the term ""Gursummaa"" can have multiple meanings from divorced, to widow, couger and single mother.",divorced,??,Gursummaa,?????,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR & TikTok workshop participants, this term is often used alongide misogynistic slurs. Interestingly, the term ""Gursummaa"" can have multiple meanings from divorced, to widow, couger and single mother.",widow,,,,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR & TikTok workshop participants, this term is often used alongide misogynistic slurs. Interestingly, the term ""Gursummaa"" can have multiple meanings from divorced, to widow, couger and single mother.",cougar ,,,,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR & TikTok workshop participants, this term is often used alongide misogynistic slurs. Interestingly, the term ""Gursummaa"" can have multiple meanings from divorced, to widow, couger and single mother.",single mum,,Harmallaa,,single mom,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, this term is often used alongide misogynistic slurs.",dog,??,Saree,???,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, this term is often used alongide misogynistic slurs.",,,Jalee,,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, this term is often used alongide misogynistic slurs.",,,Ergamtuu,,,,,,,,,,,,,,,,,,,,,,
Gender,Ethnic,"Workshop participants in the PeaceTech Lab study explained that women are sometimes referred to as “donkeys,” even within their own communities, reflecting deeply rooted cultural attitudes that normalise violence and subservience. As one participant noted, there is an Amharic saying that “a woman and a donkey deserve to be hit.” The term is also used across ethnic lines, highlighting the widespread nature of this harmful stereotype.",donkey,???,Harree,???,ahiya,,,,,,,,,,,,,,,,,,,,
Gender,Ethnic,"Workshop participants in the PeaceTech Lab study explained that women are sometimes referred to as “donkeys,” even within their own communities, reflecting deeply rooted cultural attitudes that normalise violence and subservience. As one participant noted, there is an Amharic saying that “a woman and a donkey deserve to be hit.” The term is also used across ethnic lines, highlighting the widespread nature of this harmful stereotype.",you are a donkey, ??? ??,,,ahya,,,,,,,,,,,,,,,,,,,,
Gender,Ethnic,"Workshop participants in the PeaceTech Lab study explained that women are sometimes referred to as “donkeys,” even within their own communities, reflecting deeply rooted cultural attitudes that normalise violence and subservience. As one participant noted, there is an Amharic saying that “a woman and a donkey deserve to be hit.” The term is also used across ethnic lines, highlighting the widespread nature of this harmful stereotype.",,???,Harroota,,aheya,,,,,,,,,,,,,,,,,,,,
Gender,Ethnic,"Workshop participants in the PeaceTech Lab study explained that women are sometimes referred to as “donkeys,” even within their own communities, reflecting deeply rooted cultural attitudes that normalise violence and subservience. As one participant noted, there is an Amharic saying that “a woman and a donkey deserve to be hit.” The term is also used across ethnic lines, highlighting the widespread nature of this harmful stereotype.",donkeys,??? ???,Dubartii fi Harreen,?????,aheyoch,,,,,,,,,,,,,,,,,,,,
Gender,Ethnic,"Workshop participants in the PeaceTech Lab study explained that women are sometimes referred to as “donkeys,” even within their own communities, reflecting deeply rooted cultural attitudes that normalise violence and subservience. As one participant noted, there is an Amharic saying that “a woman and a donkey deserve to be hit.” The term is also used across ethnic lines, highlighting the widespread nature of this harmful stereotype.",,???,Dubartii fi kotte duudaan,,Harrittii,,,,,,,,,,,,,,,,,,,,
Gender,,"Workshop participants in the PeaceTech Lab study explained that women are sometimes referred to as “donkeys,” even within their own communities, reflecting deeply rooted cultural attitudes that normalise violence and subservience. As one participant noted, there is an Amharic saying that “a woman and a donkey deserve to be hit.” The term is also used across ethnic lines, highlighting the widespread nature of this harmful stereotype.",,???? ,,,,,,,,,,,,,,,,,,,,,,,
Gender,Ethnic,"Workshop participants in the PeaceTech Lab study explained that women are sometimes referred to as “donkeys,” even within their own communities, reflecting deeply rooted cultural attitudes that normalise violence and subservience. As one participant noted, there is an Amharic saying that “a woman and a donkey deserve to be hit.” The term is also used across ethnic lines, highlighting the widespread nature of this harmful stereotype.",Donkey Amhara,,,,Adgi Amharay,,,,,,,,,,,,,,,,,,,,
Gender,,"Workshop participants in the PeaceTech Lab study explained that women are sometimes referred to as “donkeys,” even within their own communities, reflecting deeply rooted cultural attitudes that normalise violence and subservience. As one participant noted, there is an Amharic saying that “a woman and a donkey deserve to be hit.” The term is also used across ethnic lines, highlighting the widespread nature of this harmful stereotype.",Donkey-ish ,,Akka harree dhalaa,,obstinate ,,,,,,,,,,,,,,,,,,,,
Gender,Ethnic,"Workshop participants in the PeaceTech Lab study explained that women are sometimes referred to as “donkeys,” even within their own communities, reflecting deeply rooted cultural attitudes that normalise violence and subservience. As one participant noted, there is an Amharic saying that “a woman and a donkey deserve to be hit.” The term is also used across ethnic lines, highlighting the widespread nature of this harmful stereotype.",of the donkey race,????_??,,,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR & TikTok workshop participants, his phrase is used against men to say ""don't express your emotion in public"". ",,???? ??? ????? ?????? ?????,,,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, this term is often used alongide misogynistic slurs.",dramatic,???,Fakkeessituu,??,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, this term is often used alongide misogynistic slurs.",,,wajaawwajjuu,???,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, this term is used to target women who wear makeup.",dusty,????,Daaroftuu,????,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, this term is used to target women who wear makeup.",,????,Dhukkooftuu,,,,,,,,,,,,,,,,,,,,,,
Gender,,Slang for lesbian,dyke,???,Sanga-raadaa,???,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR & TikTok workshop participants, this term is often used alongide misogynistic slurs. It suggests they are not worthy of respect",easy ,???,salphoo,???,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, this term is often used alongide misogynistic slurs.",emotional,????,Miiroftuu,?????,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, this term is often used alongide misogynistic slurs.",,,Boossuu,,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to a CIR workshop participant, this is used to refer to women who are perceived to be unpleasant or difficult.",even worse,???,kan Caalu,????,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to a CIR workshop participant, this is used to refer to women who are perceived to be unpleasant or difficult.",,,,????,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, this term is often used alongide misogynistic slurs.",fake,?????,Gaararraa,????,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, this term is often used alongide misogynistic slurs.",,,Fakkeessituu,,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, this term is a misogynistic slur.",fallen women ,???,Gudeedamtuu,????,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, this term is a misogynistic slur.",,,butamtuu,,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, this term is a misogynistic slur.",,,kan anmni itti taphate,,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, this term is often used alongide misogynistic slurs.",fat,????,Qarbaxa,???,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, this term is often used alongide misogynistic slurs.",Fat cow,,Ruurrii,,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, this term is often used alongide misogynistic slurs.",You’re fat,???,Gabbattuu,???,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, this term is often used alongide misogynistic slurs.",Why don’t you go to the gym?,???,Furdoo,???,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, this term is often used alongide misogynistic slurs.",Lose some weight,,Gabbattuu,,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, this term is often used alongide misogynistic slurs.",You’re too big for the camera,????,Of-gattuuu,????,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, this term is often used alongide misogynistic slurs.",big buttocks,,Tortortuu,,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, this term is often used alongide misogynistic slurs.",wide mouth,??,,??,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, this term is often used alongide misogynistic slurs.",fatgirlproblems,??,Dubartii Furdoo,??? ????,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, this term is often used alongide misogynistic slurs.",,??? ,,,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, this term is often used alongide misogynistic slurs.",,?? ?? ,Coomtuu,,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, abusive accounts commonly ask for sexual favours including kinks like ""feet pics""",feet pics,???? ????,Koomee rigattuu,????? ??,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, abusive accounts commonly ask for sexual favours including kinks like ""feet pics""",,???? ????,miilla bareedaa,,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, this term is often used alongide misogynistic slurs.",feisty ,??,Haadha dubbii,???,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, this term is often used alongide misogynistic slurs.",,,Nyawwistuu,,,,,,,,,,,,,,,,,,,,,,
Gender,,"According to CIR workshop participants, this term is often used alongide misogynistic slurs.",female youth,,Qarree,????? ?? ????? ,,,,,,,,,,,,,,,,,,,,,
